Pos,Club,Played,Goals,Shot On Target
1,Liverpool,19,47,131
2,Arsenal,20,39,102
3,Nottingham Forest,20,29,93
4,Chelsea,20,39,119
5,Newcastle United,20,34,90
6,Manchester City,20,30,118
7,Bournemoth,20,30,114
8,Aston Villa,20,30,85
9,Fullham,20,30,98
10,Brighton and Hove Albion,20,30,94
11,Brentford,20,38,99
12,Tottenham Hotspur,20,42,113
13,Manchester United,20,23,94
14,West Ham United,20,24,84
15,Crystal Palace,20,21,101
16,Everton,19,15,63
17,Wolverhampton Wanderers,20,31,85
18,Ipswich Town,20,20,65
19,Leicester City,20,23,63
20,Southampton,20,12,58